,USER_ID,TRANSACTION_ID,DATE,PRODUCT_ID,QUANTITY
0,14,ye2z9,2023-01-01,A,3.0
1,17,2yb1J,2023-01-01,E,3.0
2,1,EhrXU,2023-01-01,C,4.0
3,5,9tNQZ,2023-01-01,D,2.0
4,17,Mv68i,2023-01-02,A,3.0
5,16,HR2NA,2023-01-02,E,2.0
6,6,opupp,2023-01-02,A,2.0
7,16,ocefr,2023-01-03,E,1.0
8,12,aFHmx,2023-01-03,B,4.0
9,8,wNOL4,2023-01-03,C,3.0
10,5,f2W6h,2023-01-04,C,4.0
11,2,vdMRh,2023-01-04,C,2.0
12,10,hnBxR,2023-01-04,D,2.0
13,3,dmuSq,2023-01-05,D,2.0
14,16,uphKe,2023-01-05,B,4.0
15,17,D7wOJ,2023-01-05,D,4.0
16,3,sZ00H,2023-01-06,A,3.0
17,19,UDh5n,2023-01-07,D,3.0
18,15,aoq8V,2023-01-07,B,2.0
19,8,H6rWS,2023-01-07,A,4.0
20,6,q4RSP,2023-01-07,C,4.0
21,19,hbg1P,2023-01-08,D,3.0
22,17,2kdiQ,2023-01-08,C,1.0
23,10,PT8Ge,2023-01-09,A,4.0
24,8,hAXQ2,2023-01-10,D,4.0
25,13,WCcJ4,2023-01-10,C,3.0
26,1,hyXzF,2023-01-10,D,3.0
27,12,f8zUX,2023-01-11,B,1.0
28,4,mDYuC,2023-01-11,E,1.0
29,8,DFZej,2023-01-12,E,1.0
30,6,ius35,2023-01-12,D,1.0
32,3,luPb1,2023-01-12,D,2.0
33,17,W4BlP,2023-01-13,C,1.0
35,1,Swe6T,2023-01-13,B,4.0
36,16,Ff4bk,2023-01-14,E,4.0
37,2,Gs3Of,2023-01-14,A,3.0
38,9,04uHr,2023-01-15,E,3.0
39,10,RLfJZ,2023-01-15,B,1.0
40,6,J6CVe,2023-01-15,D,1.0
41,8,u5HAR,2023-01-16,C,1.0
42,6,HQ8gE,2023-01-17,D,2.0
43,12,hyshQ,2023-01-17,B,1.0
44,1,emwIw,2023-01-17,D,4.0
45,17,nrPt9,2023-01-18,C,4.0
49,14,yt6j0,2023-01-20,B,3.0
50,15,424Ie,2023-01-20,D,4.0
51,9,WY6QV,2023-01-20,E,3.0
52,11,qpNgj,2023-01-21,A,4.0
53,10,wKDLI,2023-01-21,D,3.0
54,13,XEDNx,2023-01-21,B,1.0
55,7,M0mEd,2023-01-22,A,4.0
56,10,FLTVg,2023-01-22,A,3.0
57,19,dXXRB,2023-01-22,C,1.0
58,11,P8Adq,2023-01-23,E,2.0
62,18,a8Hys,2023-01-24,C,3.0
63,4,zGUZh,2023-01-24,E,4.0
64,6,XuW1w,2023-01-24,E,3.0
65,6,81Fni,2023-01-25,E,3.0
66,14,PMI8j,2023-01-25,B,3.0
67,14,hgOSY,2023-01-25,D,2.0
68,12,oRCMy,2023-01-26,E,2.0
69,16,3GlOT,2023-01-26,D,2.0
70,14,tg3I1,2023-01-26,E,2.0
71,16,ytS9q,2023-01-26,D,1.0
72,4,SCKar,2023-01-27,B,2.0
73,19,nMil2,2023-01-27,C,2.0
74,9,sPVfi,2023-01-28,D,2.0
75,2,DUiuB,2023-01-29,B,4.0
76,8,57C9Q,2023-01-29,D,2.0
77,1,nnTMv,2023-01-29,B,3.0
78,15,wcyNv,2023-01-30,B,1.0
79,13,CR0Yb,2023-01-30,E,4.0
80,4,t6rQu,2023-01-30,E,2.0
81,3,AFlIK,2023-01-30,B,4.0
82,1,bgD2B,2023-01-31,D,3.0
83,2,BRwx6,2023-01-31,A,2.0
84,16,p7jsD,2023-01-31,E,2.0
85,9,Jc3sc,2023-01-31,B,3.0
86,18,fmSaM,2023-02-01,B,3.0
87,14,fskwN,2023-02-02,D,4.0
88,6,ZobLy,2023-02-02,E,3.0
89,5,HbCBQ,2023-02-03,D,1.0
90,9,RaX9J,2023-02-03,B,2.0
91,15,sFXE7,2023-02-03,E,3.0
92,15,mHguw,2023-02-03,B,4.0
93,1,qInrP,2023-02-04,B,3.0
95,14,X7ELA,2023-02-04,C,1.0
96,16,Z3x2P,2023-02-04,C,4.0
97,11,RZcdW,2023-02-05,C,3.0
98,11,G8RSf,2023-02-05,C,1.0
99,11,J2ads,2023-02-05,A,3.0
100,7,nAjVS,2023-02-05,B,3.0
101,1,4pQnZ,2023-02-06,D,2.0
102,8,571hn,2023-02-06,A,3.0
103,19,exvKL,2023-02-06,C,4.0
105,3,HpN69,2023-02-07,A,3.0
106,9,ZTFka,2023-02-08,E,3.0
107,8,6e2uy,2023-02-09,A,4.0
108,16,tzhBN,2023-02-09,A,3.0
110,2,Nd36p,2023-02-10,C,3.0
111,19,LrX36,2023-02-10,C,3.0
112,8,P91ox,2023-02-11,D,3.0
113,11,MaAI5,2023-02-11,D,4.0
114,9,8HkYk,2023-02-12,B,1.0
116,12,ZZuCX,2023-02-13,A,2.0
117,7,u1BGb,2023-02-13,D,2.0
